RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),10:45,,,,,,,,,,
,Duty,451,Takes Bus 7 at 12:00 at Broadstone,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,402,Takes up at 10:45 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,10:45,,,,,,,,,
23,,,Charlestown SC,,11:20,,,,,,,,,
,,,Broadstone (Stop #190),12:00,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,451,Takes up at 12:00 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,12:00,,,,,,,,,
23,,,Merrion Square,,12:30,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Charlestown SC,,13:40,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,14:50,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Charlestown SC,,16:20,,,,,,,,,
,,,Broadstone (Stop #190),17:00,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 8,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,408,Reports at 05:08,,,,,,,,,,,
SPL,,,Departs Garage,,05:16,,Duty,438,Takes up at 20:15 Broadstone,,,,,
24,,,Merrion Square,,05:40,,,,Broadstone (Stop #190),,20:15,,,
,,,,,,23,,,Merrion Square,,20:50,,,
24,,,Dublin Airport,,07:10,,,,,,,,,
,,,Broadstone (Stop #190),08:20,,23,,,Charlestown SC,,22:00,,,
,Duty,408,Takes Bus 5 at 09:30 at Broadstone,,,,,,,,,,,
,,,,,,24,,,Merrion Square,,23:00,,,
,Duty,453,Takes up at 08:20 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,08:20,,,,Dublin Airport,00:20,,,,
24,,,Merrion Square,,09:00,,,,Phibsboro Garage,00:55,,,,
,,,,,,,Finish,Duty,,,,,,
24,,,Dublin Airport,,10:30,,,,,,,,,
,,,Broadstone (Stop #190),11:30,,,,,,,,,,
,Duty,453,Takes Bus 9 at 12:45 at Constitution Hill,,,,,,,,,,,
,Duty,416,Takes up 11:30 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill,,11:30,,,,,,,,,
24,,,Merrion Square,,12:00,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,13:30,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,15:00,,,,,,,,,
,,,Constitution Hill,15:35,,,,,,,,,,
,Finish ,Duty,,,,,,,,,,,,
,Duty,433,Takes up 15:35 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill,,15:35,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,16:50,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,18:30,,,,,,,,,
