RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
24,,,Merrion Square,,09:40,,,,,,
,,,,,,,,,,,
24,,,Dublin Airport,,11:20,,,,,,
,,,Broadstone (Stop #190),12:20,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,Duty,408,Takes up at 12:20 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,12:20,,,,,,
23,,,Merrion Square,,12:50,,,,,,
,,,Constitution Hill (Stop #1619),13:25,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,Duty,414,Takes up at 13:25 Constitution Hill,,,,,,,,
,,,Constitution Hill (Stop #1619),,13:25,,,,,,
23,,,Charlestown SC,,14:10,,,,,,
,,,,,,,,,,,
24,,,Merrion Square,,15:20,,,,,,
,,,Constitution Hill (Stop #1619),15:55,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 7,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,407,Reports at 05:47,,,,,,,,
SPL,,,Departs Garage,,05:55,,Duty,416,Takes up at 16:05 Constitution Hill,,
24,,,Dublin Airport,,06:25,,,,Constitution Hill (Stop #1619),,16:05
,,,,,,23,,,Charlestown SC,,16:50
23,,,Merrion Square,,07:45,,,,,,
,,,,,,23,,,Merrion Square,,18:10
23,,,Charlestown SC,,08:50,,,,,,
,,,Broadstone (Stop #190),09:25,,23,,,Charlestown SC,,19:25
,Duty,407,Takes Bus 11 at 10:30 at Constitution Hill,,,,,,,,
,,,,,,SPL,,,Merrion Square,20:30,
,Duty,455,Takes up at 09:25 Broadstone,,,,,,Phibsboro Garage,20:50,
,,,Broadstone (Stop #190),,09:25,,Finish,Duty,,,
23,,,Merrion Square,,09:50,,,,,,
,,,,,,,,,,,
23,,,Charlestown SC,,11:10,,Duty,473,Reports at 03:07,,
,,,,,,SPL,,,Departs Garage,,03:10
24,,,Merrion Square,,12:20,24,,,Merrion Square,,03:30
,,,Constitution Hill (Stop #1619),12:55,,,,,,,
,Duty,455,Takes Bus 3 at 14:55 at Constitution Hill,,,24,,,Dublin Airport,,04:30
,,,,,,,,,,,
,Duty,420,Takes up at 12:55 Constitution Hill,,,SPL,,,Merrion Square,05:30,
,,,Constitution Hill (Stop #1619),,12:55,,,,Phibsboro Garage,05:50,
24,,,Dublin Airport,,14:00,,Finish,Duty,,,
,,,,,,,,,,,
23,,,Merrion Square,,15:30,,,,,,
,,,Constitution Hill (Stop #1619),16:05,,,,,,,
,Duty,420,Takes Bus 4 at 17:05 at Constitution Hill,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 8,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,408,Reports at 05:52,,,,,,,,
SPL,,,Departs Garage,,06:00,,,,,,
23,,,Charlestown SC,,06:30,,,,,,
,,,,,,,,,,,
24,,,Merrion Square,,07:30,,,,,,
,,,,,,,,,,,
24,,,Dublin Airport,,09:00,,,,,,
,,,,,,,,,,,
23,,,Merrion Square,,10:30,,,,,,
,,,Constitution Hill (Stop #1619),11:00,,,,,,,
,Duty,408,Takes Bus 6 at 12:20 at Broadstone,,,,,,,,
,,,,,,,,,,,
,Duty,409,Takes up at 11:00 Constitution Hill,,,,,,,,
,,,Constitution Hill (Stop #1619),,11:00,,,,,,
23,,,Charlestown SC,,11:50,,,,,,
,,,,,,,,,,,
24,,,Merrion Square,,13:00,,,,,,
,,,,,,,,,,,
24,,,Dublin Airport,,14:40,,,,,,
,,,Broadstone (Stop #190),15:40,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,Duty,428,Takes up at 15:40 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,15:40,,,,,,
23,,,Merrion Square,,16:10,,,,,,
,,,,,,,,,,,
23,,,Charlestown SC,,17:30,,,,,,
