RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
 , , ,Broadstone (Stop #190), ,17:15, , , , , , ,,
23, , ,Merrion Square, ,17:45, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,18:55, , , , , , ,,
 , , ,Broadstone (Stop #190),19:30, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 8,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,408,Reports at 07:22, , , , , , , , ,,
SPL, , ,Departs Garage, ,07:30, ,Duty,421,Takes up at 21:55 Constitution Hill, , ,,
23, , ,Charlestown SC, ,08:00, , , ,Constitution Hill (Stop #1619), ,21:55,,
 , , , , , ,24, , ,Dublin Airport, ,23:05,,
23, , ,Merrion Square, ,09:00, , , , , , ,,
 , , , , , ,SPL, , ,Merrion Square,00:20, ,,
23, , ,Charlestown SC, ,10:25, , , ,Phibsboro Garage,00:40, ,,
 , , , , , , ,Finish,Duty, , , ,,
24, , ,Merrion Square, ,11:30, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),12:00, , , , , , , ,,
 ,Finish,Duty, , , , ,Duty,472,Reports at 03:07, , ,,
 , , , , , ,SPL, , ,Departs Garage, ,03:10,,
 ,Duty,410,Takes up at 12:00 Constitution Hill, , ,24, , ,Merrion Square, ,03:30,,
 , , ,Constitution Hill (Stop #1619), ,12:00, , , , , , ,,
24, , ,Dublin Airport, ,12:50,24, , ,Dublin Airport, ,04:30,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,14:15,SPL, , ,Merrion Square,05:30, ,,
 , , , , , , , , ,Phibsboro Garage,05:50, ,,
23, , ,Charlestown SC, ,15:25, ,Finish,Duty, , , ,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,16:30, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),17:00, , , , , , , ,,
 ,Duty,410,Takes Bus 13 at 18:00 at Constitution Hill, , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,413,Takes up at 17:00 Constitution Hill, , , , , , , , ,,
 , , ,Constitution Hill (Stop #1619), ,17:00, , , , , , ,,
24, , ,Dublin Airport, ,17:50, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,19:15, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,20:30, , , , , , ,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,21:30, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),21:55, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 9,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,409,Reports at 08:42, , , , , , , , ,,
SPL, , ,Departs Garage, ,08:50, , , , , , ,,
24, , ,Dublin Airport, ,09:20, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,10:45, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,11:55, , , , , , ,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,13:00, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),13:30, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,452,Takes up at 13:30 Constitution Hill, , , , , , , , ,,
 , , ,Constitution Hill (Stop #1619), ,13:30, , , , , , ,,
24, , ,Dublin Airport, ,14:20, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,15:45, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),16:20, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,419,Takes up at 16:20 Constitution Hill, , , , , , , , ,,
 , , ,Constitution Hill (Stop #1619), ,16:20, , , , , , ,,
23, , ,Charlestown SC, ,16:55, , , , , , ,,
 , , , , , , , , , , , ,,
SPL, , ,Merrion Square,18:00, , , , , , , ,,
 , , ,Phibsboro Garage,18:20, , , , , , , ,,
 ,Duty,419,Takes Bus 7 at 19:30 at Broadstone, , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 10,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,451,Reports at 08:52, , , ,Duty,474,Reports at 03:27, , ,,
SPL, , ,Departs Garage, ,09:00,SPL, , ,Departs Garage, ,03:30,,
24, , ,Merrion Square, ,09:20,24, , ,Dublin Airport, ,04:00,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,10:50,24, , ,Merrion Square, ,05:00,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,12:15,SPL, , ,Dublin Airport,06:00, ,,
 , , , , , , , , ,Phibsboro Garage,06:30, ,,
23, , ,Charlestown SC, ,13:25, ,Finish,Duty, , , ,,
 , , ,Broadstone (Stop #190),14:00, , , , , , , ,,
 ,Duty,451,Takes Bus 7 at 17:15 at Broadstone, , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,453,Takes up at 14:00 Broadstone, , , , , , , , ,,
 , , ,Broadstone (Stop #190), ,14:00, , , , , , ,,
24, , ,Merrion Square, ,14:30, , , , , , ,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,15:50, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,17:15, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,18:25, , , , , , ,,
 , , ,Broadstone (Stop #190),19:00, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,417,Takes up at 19:00 Broadstone, , , , , , , , ,,
 , , ,Broadstone (Stop #190), ,19:00, , , , , , ,,
24, , ,Merrion Square, ,19:30, , , , , , ,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,20:55, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,22:15, , , , , , ,,
 , , , , , , , , , , , ,,
SPL, , ,Charlestown SC,23:15, , , , , , , ,,
 , , ,Phibsboro Garage,23:40, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 11,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,453,Reports at 09:12, , , ,Duty,418,Reports at 19:52, , ,,
SPL, , ,Departs Garage, ,09:20,SPL, , ,Departs Garage, ,19:55,,
24, , ,Dublin Airport, ,09:50,24, , ,Dublin Airport, ,20:25,,
 , , , , , , , , , , , ,,
23, , ,Merrion Square, ,11:15,23, , ,Merrion Square, ,21:45,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,12:25,23, , ,Charlestown SC, ,23:05,,
 , , ,Broadstone (Stop #190),13:00, , , , , , , ,,
 ,Duty,453,Takes Bus 10 at 14:00 at Broadstone, , ,SPL, , ,Merrion Square,00:05, ,,
 , , , , , , , , ,Phibsboro Garage,00:25, ,,
 ,Duty,413,Takes up at 13:00 Broadstone, , , ,Finish,Duty, , , ,,
 , , ,Broadstone (Stop #190), ,13:00, , , , , , ,,
24, , ,Merrion Square, ,13:30, , , , , , ,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,14:50, , , , , , ,,
 , , ,Broadstone (Stop #190),15:45, , , , , , , ,,
 ,Duty,413,Takes Bus 8 at 17:00 at Constitution Hill, , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,418,Takes up at 15:45 Broadstone, , , , , , , , ,,
 , , ,Broadstone (Stop #190), ,15:45, , , , , , ,,
23, , ,Merrion Square, ,16:15, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,17:25, , , , , , ,,
 , , , , , , , , , , , ,,
SPL, , ,Merrion Square,18:30, , , , , , , ,,
 , , ,Phibsboro Garage,18:50, , , , , , , ,,
 ,Duty,418,Takes Bus 11 at 19:52 at Phibsboro Garage, , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 12,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,454,Reports at 09:17, , , , , , , , ,,
SPL, , ,Departs Garage, ,09:25, ,Duty,420,Takes up at 20:30 Broadstone, , ,,
23, , ,Charlestown SC, ,09:55, , , ,Broadstone (Stop #190), ,20:30,,
