Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
466,,,PSQE,,Takes up at PSQE 08:45,PSQE,,08:45:00,
466,,,Drimnagh,122,PSQE,Drimnagh,,09:50:00,
466,,,Ashington,122,Drimnagh,Ashington,,11:20:00,
466,,,PSQE,,Ashington,PSQE,11:55:00,,
466,,,Takes bus 14 (Route 9) at 15:55 PSQW,,PSQE,Takes bus 14 (Route 9) at 15:55 PSQW,,,Takes Bus 14 (Route 9) at 15:55 psqw
467,,,Takes up at PSQE 15:28,,,,,,
467,,,PSQE,,Takes up at PSQE 15:28,PSQE,,15:28:00,
467,,,Limekiln,9,PSQE,Limekiln,,16:40:00,
467,,,Charlestown,SPL,Limekiln,Charlestown,18:40:00,,
467,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,19:05:00,,
467,,,,,,,,,Duty 467 Finished Duty
467,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
467,,,Takes up at PSQW 08:50,,,,,,Duty 467 Finished Duty
467,,,PSQW,,Takes up at PSQW 08:50,PSQW,,08:50:00,
467,,,Charlestown,9,PSQW,Charlestown,,09:36:00,
467,,,Limekiln,9,Charlestown,Limekiln,,11:24:00,
467,,,PSQW,,Limekiln,PSQW,12:19:00,,
467,,,Takes bus 13 (Route 9) at 15:28 PSQE,,,,,,Takes Bus 13 (Route 9) at 15:28 psqe
468,,,Takes up at PSQE 15:40,,,,,,
468,,,PSQE,,Takes up at PSQE 15:40,PSQE,,15:40:00,
468,,,Limekiln,9,PSQE,Limekiln,,16:50:00,
468,,,Charlestown,SPL,Limekiln,Charlestown,18:45:00,,
468,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,19:10:00,,
468,,,,,,,,,Duty 468 Finished Duty
468,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
468,,,Takes up at PSQE 09:10,,,,,,
468,,,PSQE,,Takes up at PSQE 09:10,PSQE,,09:10:00,
468,,,Limekiln,9,PSQE,Limekiln,,10:24:00,
468,,,Charlestown,9,Limekiln,Charlestown,,12:12:00,
468,,,PSQE,,Charlestown,PSQE,12:52:00,,
468,,,Takes bus 15 (Route 9) at 15:40 PSQE,,,,,,Takes Bus 15 (Route 9) at 15:40 psqe
469,,,Takes up at PSQW 09:15,,,,,,Duty 469 Finished Duty
469,,,PSQW,,Takes up at PSQW 09:15,PSQW,,09:15:00,
469,,,Charlestown,9,PSQW,Charlestown,,10:00:00,
469,,,Limekiln,9,Charlestown,Limekiln,,11:48:00,
469,,,PSQW,,Limekiln,PSQW,12:38:00,,
469,,,Takes bus 17 (Route 9) at 14:55 PSQW,,,,,,Takes Bus 17 (Route 9) at 14:55 psqw
469,,,Takes up at PSQW 14:55,,,,,,
469,,,PSQW,,Takes up at PSQW 14:55,PSQW,,14:55:00,
469,,,Charlestown,9,PSQW,Charlestown,,15:48:00,
469,,,Limekiln,9,Charlestown,Limekiln,,17:40:00,
469,,,Charlestown,SPL,Limekiln,Charlestown,19:25:00,,
469,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,19:59:00,,
469,,,,,,,,,Duty 469 Finished Duty
469,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
470,16:02,,Reports at 16:02,,,,,,Duty 470 reports at 16:02
470,,16:05:00,Departs Garage,SPL,Reports at 16:02,Departs Garage,,16:05:00,
470,,,Limekiln,9,Departs Garage,Limekiln,,17:10:00,
470,,,Charlestown,9,Limekiln,Charlestown,,19:00:00,
470,,,PSQE,,Charlestown,PSQE,19:40:00,,
470,,,,,,,,,Duty 470 Finished Duty
470,,,Takes up at PSQW 09:50,,,,,,Duty 470 Finished Duty
470,,,PSQW,,Takes up at PSQW 09:50,PSQW,,09:50:00,
470,,,Charlestown,9,PSQW,Charlestown,,10:36:00,
470,,,Limekiln,9,Charlestown,Limekiln,,12:24:00,
470,,,PSQW,,Limekiln,PSQW,13:19:00,,
470,,,Takes bus 7 (Route 9) at 16:02 Garage,,,,,,Takes Bus 7 (Route 9) at 16:02 garage
471,,,Takes up at PSQE 10:04,,,,,,
471,,,PSQE,,Takes up at PSQE 10:04,PSQE,,10:04:00,
471,,,Limekiln,9,PSQE,Limekiln,,11:12:00,
471,,,Charlestown,9,Limekiln,Charlestown,,13:00:00,
471,,,PSQE,,Charlestown,PSQE,13:40:00,,
471,,,Takes bus 10 (Route 122) at 17:45 PSQE,,,,,,Takes Bus 10 (Route 122) at 17:45 psqe
471,,,Phibsboro (007),ROUTE 9,Takes bus 10 (Route 122) at 17:45 PSQE,Phibsboro (007),,,
471,,,Takes up at PSQE 17:45,,,,,,
471,,,PSQE,,Takes up at PSQE 17:45,PSQE,,17:45:00,
471,,,Drimnagh,122,PSQE,Drimnagh,,18:40:00,
471,,,PSQW,,Drimnagh,PSQW,19:30:00,,
471,,,,,,,,,Duty 471 Finished Duty
471,,,Phibsboro (007),ROUTE 122,PSQW,Phibsboro (007),,,
